7:59337,80221,73599,24616,95472
18:59337,80221,73599,24616,95472
19:59337,80221,73599,24616,95472
36:59337,80221,73599,24616,95472
37:59337,80221,73599,24616,95472
41:59337,80221,73599,24616,95472
42:59337,80221,73599,24616,95472
43:59337,80221,73599,24616,95472
44:59337,80221,73599,24616,95472
45:59337,80221,73599,24616,95472
46:59337,80221,73599,24616,95472
59:59337,80221,73599,24616,95472
60:59337,80221,73599,24616,95472
69:59337,80221,73599,24616,95472
70:59337,80221,73599,24616,95472
94:59337,80221,73599,24616,95472
106:59337,80221,73599,24616,95472
115:59337,80221,73599,24616,95472
116:59337,80221,73599,24616,95472
142:59337,80221,73599,24616,95472
143:59337,80221,73599,24616,95472
148:59337,80221,73599,24616,95472
150:59337,80221,73599,24616,95472
156:59337,80221,73599,24616,95472
161:59337,80221,73599,24616,95472
171:59337,80221,73599,24616,95472
172:59337,80221,73599,24616,95472
174:59337,80221,73599,24616,95472
177:59337,80221,73599,24616,95472
196:59337,80221,73599,24616,95472
202:59337,80221,73599,24616,95472
211:59337,80221,73599,24616,95472
217:59337,80221,73599,24616,95472
220:59337,80221,73599,24616,95472
223:59337,80221,73599,24616,95472
224:59337,80221,73599,24616,95472
225:59337,80221,73599,24616,95472
228:59337,80221,73599,24616,95472
229:59337,80221,73599,24616,95472
231:59337,80221,73599,24616,95472
232:59337,80221,73599,24616,95472
238:59337,80221,73599,24616,95472
241:59337,80221,73599,24616,95472
245:59337,80221,73599,24616,95472
249:59337,80221,73599,24616,95472
250:59337,80221,73599,24616,95472
253:59337,80221,73599,24616,95472
257:59337,80221,73599,24616,95472
272:59337,80221,73599,24616,95472
273:59337,80221,73599,24616,95472
288:59337,80221,73599,24616,95472
290:59337,80221,73599,24616,95472
291:59337,80221,73599,24616,95472
292:59337,80221,73599,24616,95472
294:59337,80221,73599,24616,95472
328:59337,80221,73599,24616,95472
331:59337,80221,73599,24616,95472
345:59337,80221,73599,24616,95472
361:59337,80221,73599,24616,95472
376:59337,80221,73599,24616,95472
384:59337,80221,73599,24616,95472
401:59337,80221,73599,24616,95472
402:59337,80221,73599,24616,95472
410:59337,80221,73599,24616,95472
448:59337,80221,73599,24616,95472
449:59337,80221,73599,24616,95472
450:59337,80221,73599,24616,95472
452:59337,80221,73599,24616,95472
476:59337,80221,73599,24616,95472
488:59337,80221,73599,24616,95472
490:59337,80221,73599,24616,95472
494:59337,80221,73599,24616,95472
500:59337,80221,73599,24616,95472
514:59337,80221,73599,24616,95472
525:59337,80221,73599,24616,95472
535:59337,80221,73599,24616,95472
536:59337,80221,73599,24616,95472
538:59337,80221,73599,24616,95472
539:59337,80221,73599,24616,95472
564:59337,80221,73599,24616,95472
582:59337,80221,73599,24616,95472
585:59337,80221,73599,24616,95472
590:59337,80221,73599,24616,95472
601:59337,80221,73599,24616,95472
618:59337,80221,73599,24616,95472
624:59337,80221,73599,24616,95472
627:59337,80221,73599,24616,95472
628:59337,80221,73599,24616,95472
632:59337,80221,73599,24616,95472
633:59337,80221,73599,24616,95472
634:59337,80221,73599,24616,95472
646:59337,80221,73599,24616,95472
666:59337,80221,73599,24616,95472
667:59337,80221,73599,24616,95472
669:59337,80221,73599,24616,95472
678:59337,80221,73599,24616,95472
680:59337,80221,73599,24616,95472
681:59337,80221,73599,24616,95472
682:59337,80221,73599,24616,95472
683:59337,80221,73599,24616,95472
684:59337,80221,73599,24616,95472
715:59337,80221,73599,24616,95472
716:59337,80221,73599,24616,95472
741:59337,80221,73599,24616,95472
750:59337,80221,73599,24616,95472
754:59337,80221,73599,24616,95472
756:59337,80221,73599,24616,95472
757:59337,80221,73599,24616,95472
758:59337,80221,73599,24616,95472
763:59337,80221,73599,24616,95472
773:59337,80221,73599,24616,95472
774:59337,80221,73599,24616,95472
775:59337,80221,73599,24616,95472
782:59337,80221,73599,24616,95472
784:59337,80221,73599,24616,95472
793:59337,80221,73599,24616,95472
803:59337,80221,73599,24616,95472
813:59337,80221,73599,24616,95472
815:59337,80221,73599,24616,95472
817:59337,80221,73599,24616,95472
818:59337,80221,73599,24616,95472
823:59337,80221,73599,24616,95472
825:59337,80221,73599,24616,95472
833:59337,80221,73599,24616,95472
835:59337,80221,73599,24616,95472
838:59337,80221,73599,24616,95472
844:59337,80221,73599,24616,95472
850:59337,80221,73599,24616,95472
856:59337,80221,73599,24616,95472
857:59337,80221,73599,24616,95472
874:59337,80221,73599,24616,95472
891:59337,80221,73599,24616,95472
899:59337,80221,73599,24616,95472
900:59337,80221,73599,24616,95472
911:59337,80221,73599,24616,95472
918:59337,80221,73599,24616,95472
925:59337,80221,73599,24616,95472
926:59337,80221,73599,24616,95472
937:59337,80221,73599,24616,95472
949:59337,80221,73599,24616,95472
